Date,Dow Jones U.S. High Momentum Total Return Index
2011-11-30,923.66
2011-12-01,922.14
2011-12-02,923.1
2011-12-03,923.1
2011-12-04,923.1
2011-12-05,931.09
2011-12-06,925.9
2011-12-07,921.79
2011-12-08,902.29
2011-12-09,924.36
2011-12-10,924.36
2011-12-11,924.36
2011-12-12,908.58
2011-12-13,893.61
2011-12-14,880.07
2011-12-15,881.08
2011-12-16,888.27
2011-12-17,888.27
2011-12-18,888.27
2011-12-19,877.36
2011-12-20,904.62
2011-12-21,903.67
2011-12-22,908.57
2011-12-23,915.56
2011-12-24,915.56
2011-12-25,915.56
2011-12-26,915.56
2011-12-27,919.73
2011-12-28,905.86
2011-12-29,914.64
2011-12-30,909.76
2011-12-31,909.76
2012-01-01,909.76
2012-01-02,909.76
2012-01-03,915.66
2012-01-04,914.79
2012-01-05,922.79
2012-01-06,921.24
2012-01-07,921.24
2012-01-08,921.24
2012-01-09,924.94
2012-01-10,936.09
2012-01-11,935.57
2012-01-12,938.87
2012-01-13,935.99
2012-01-14,935.99
2012-01-15,935.99
2012-01-16,935.99
2012-01-17,941.06
2012-01-18,953.75
2012-01-19,957.92
2012-01-20,952.82
2012-01-21,952.82
2012-01-22,952.82
2012-01-23,952.75
2012-01-24,956.08
2012-01-25,968.55
2012-01-26,961.48
2012-01-27,967.39
2012-01-28,967.39
2012-01-29,967.39
2012-01-30,962.07
2012-01-31,962.23
2012-02-01,978.05
2012-02-02,980.45
2012-02-03,995.55
2012-02-04,995.55
2012-02-05,995.55
2012-02-06,995.12
2012-02-07,997.65
2012-02-08,998.99
2012-02-09,1001.81
2012-02-10,992.37
2012-02-11,992.37
2012-02-12,992.37
2012-02-13,1003.39
2012-02-14,1003.81
2012-02-15,998.56
2012-02-16,1010.82
2012-02-17,1011.09
2012-02-18,1011.09
2012-02-19,1011.09
2012-02-20,1011.09
2012-02-21,1008.62
2012-02-22,1007.96
2012-02-23,1017.36
2012-02-24,1018.95
2012-02-25,1018.95
2012-02-26,1018.95
2012-02-27,1019.98
2012-02-28,1020.03
2012-02-29,1013.93
2012-03-01,1022.6
2012-03-02,1015.92
2012-03-03,1015.92
2012-03-04,1015.92
2012-03-05,1014
2012-03-06,997.11
2012-03-07,1006.63
2012-03-08,1019.26
2012-03-09,1024.67
2012-03-10,1024.67
2012-03-11,1024.67
2012-03-12,1022.96
2012-03-13,1037.96
2012-03-14,1031.02
2012-03-15,1035.84
2012-03-16,1035.14
2012-03-17,1035.14
2012-03-18,1035.14
2012-03-19,1038.95
2012-03-20,1032.8
2012-03-21,1034.57
2012-03-22,1026.81
2012-03-23,1032.28
2012-03-24,1032.28
2012-03-25,1032.28
2012-03-26,1048.4
2012-03-27,1043.53
2012-03-28,1037.09
2012-03-29,1036.53
2012-03-30,1039.47
2012-03-31,1039.47
2012-04-01,1039.47
2012-04-02,1049.19
2012-04-03,1051.2
2012-04-04,1038.21
2012-04-05,1040.42
2012-04-06,1040.42
2012-04-07,1040.42
2012-04-08,1040.42
2012-04-09,1027.24
2012-04-10,1003.33
2012-04-11,1014.42
2012-04-12,1030.43
2012-04-13,1024.98
2012-04-14,1024.98
2012-04-15,1024.98
2012-04-16,1022.6
2012-04-17,1035.91
2012-04-18,1036.16
2012-04-19,1032.65
2012-04-20,1036.86
2012-04-21,1036.86
2012-04-22,1036.86
2012-04-23,1025.16
2012-04-24,1024
2012-04-25,1044.02
2012-04-26,1055.61
2012-04-27,1061.71
2012-04-28,1061.71
2012-04-29,1061.71
2012-04-30,1055.02
2012-05-01,1058.3
2012-05-02,1063.3
2012-05-03,1049.43
2012-05-04,1033.08
2012-05-05,1033.08
2012-05-06,1033.08
2012-05-07,1032.42
2012-05-08,1024.89
2012-05-09,1020.28
2012-05-10,1025.33
2012-05-11,1026.98
2012-05-12,1026.98
2012-05-13,1026.98
2012-05-14,1013.29
2012-05-15,1011.57
2012-05-16,1007.5
2012-05-17,978.79
2012-05-18,969.5
2012-05-19,969.5
2012-05-20,969.5
2012-05-21,993.66
2012-05-22,996.92
2012-05-23,1003.71
2012-05-24,1007.1
2012-05-25,1005.03
2012-05-26,1005.03
2012-05-27,1005.03
2012-05-28,1005.03
2012-05-29,1017.29
2012-05-30,1000.53
2012-05-31,995.07
2012-06-01,962.54
2012-06-02,962.54
2012-06-03,962.54
2012-06-04,962.24
2012-06-05,972.65
2012-06-06,995.76
2012-06-07,989.09
2012-06-08,999.64
2012-06-09,999.64
2012-06-10,999.64
2012-06-11,980.9
2012-06-12,993.92
2012-06-13,980.66
2012-06-14,989.77
2012-06-15,999.46
2012-06-16,999.46
2012-06-17,999.46
2012-06-18,1006.88
2012-06-19,1017.05
2012-06-20,1012.56
2012-06-21,987.94
2012-06-22,994.23
2012-06-23,994.23
