Date,Dow Jones U.S. Thematic Long Size Total Return Index
2011-11-30,946.19
2011-12-01,941.26
2011-12-02,943.39
2011-12-03,943.39
2011-12-04,943.39
2011-12-05,959.23
2011-12-06,957.77
2011-12-07,955.56
2011-12-08,927.63
2011-12-09,950.71
2011-12-10,950.71
2011-12-11,950.71
2011-12-12,933.28
2011-12-13,915.05
2011-12-14,900.21
2011-12-15,905.64
2011-12-16,913.33
2011-12-17,913.33
2011-12-18,913.33
2011-12-19,895.35
2011-12-20,930.14
2011-12-21,935.72
2011-12-22,945.86
2011-12-23,951.8
2011-12-24,951.8
2011-12-25,951.8
2011-12-26,951.8
2011-12-27,953.93
2011-12-28,936.55
2011-12-29,949.23
2011-12-30,946.16
2011-12-31,946.16
2012-01-01,946.16
2012-01-02,946.16
2012-01-03,957.58
2012-01-04,954.13
2012-01-05,961.15
2012-01-06,960.67
2012-01-07,960.67
2012-01-08,960.67
2012-01-09,965.63
2012-01-10,980.22
2012-01-11,982.16
2012-01-12,983.61
2012-01-13,972.99
2012-01-14,972.99
2012-01-15,972.99
2012-01-16,972.99
2012-01-17,973.67
2012-01-18,990.78
2012-01-19,997.85
2012-01-20,995.76
2012-01-21,995.76
2012-01-22,995.76
2012-01-23,995.55
2012-01-24,1000.55
2012-01-25,1013.25
2012-01-26,1006.89
2012-01-27,1017.6
2012-01-28,1017.6
2012-01-29,1017.6
2012-01-30,1008.23
2012-01-31,1006.93
2012-02-01,1025.52
2012-02-02,1029.01
2012-02-03,1051.58
2012-02-04,1051.58
2012-02-05,1051.58
2012-02-06,1049.21
2012-02-07,1050.96
2012-02-08,1054.15
2012-02-09,1053.32
2012-02-10,1042.26
2012-02-11,1042.26
2012-02-12,1042.26
2012-02-13,1054.63
2012-02-14,1051.36
2012-02-15,1048.16
2012-02-16,1066.52
2012-02-17,1065.56
2012-02-18,1065.56
2012-02-19,1065.56
2012-02-20,1065.56
2012-02-21,1061.6
2012-02-22,1057.11
2012-02-23,1067.78
2012-02-24,1067.2
2012-02-25,1067.2
2012-02-26,1067.2
2012-02-27,1067.25
2012-02-28,1065.09
2012-02-29,1056.27
2012-03-01,1063.67
2012-03-02,1052.05
2012-03-03,1052.05
2012-03-04,1052.05
2012-03-05,1047.48
2012-03-06,1025.46
2012-03-07,1034.29
2012-03-08,1046.65
2012-03-09,1060.44
2012-03-10,1060.44
2012-03-11,1060.44
2012-03-12,1054.67
2012-03-13,1075.99
2012-03-14,1067.43
2012-03-15,1078.85
2012-03-16,1079.51
2012-03-17,1079.51
2012-03-18,1079.51
2012-03-19,1084.04
2012-03-20,1074
2012-03-21,1073.63
2012-03-22,1059.39
2012-03-23,1066.88
2012-03-24,1066.88
2012-03-25,1066.88
2012-03-26,1083.76
2012-03-27,1077.73
2012-03-28,1070.15
2012-03-29,1068.83
2012-03-30,1068.3
2012-03-31,1068.3
2012-04-01,1068.3
2012-04-02,1077.25
2012-04-03,1076.53
2012-04-04,1058.88
2012-04-05,1054.06
2012-04-06,1054.06
2012-04-07,1054.06
2012-04-08,1054.06
2012-04-09,1039.98
2012-04-10,1013.97
2012-04-11,1026.91
2012-04-12,1048.34
2012-04-13,1032.94
2012-04-14,1032.94
2012-04-15,1032.94
2012-04-16,1032.55
2012-04-17,1048.68
2012-04-18,1041.73
2012-04-19,1044.15
2012-04-20,1048.41
2012-04-21,1048.41
2012-04-22,1048.41
2012-04-23,1036.28
2012-04-24,1039.78
2012-04-25,1059.42
2012-04-26,1069.62
2012-04-27,1075.24
2012-04-28,1075.24
2012-04-29,1075.24
2012-04-30,1066.82
2012-05-01,1071.51
2012-05-02,1073.11
2012-05-03,1056.27
2012-05-04,1039.44
2012-05-05,1039.44
2012-05-06,1039.44
2012-05-07,1038.74
2012-05-08,1033.61
2012-05-09,1029.77
2012-05-10,1029.99
2012-05-11,1030.23
2012-05-12,1030.23
2012-05-13,1030.23
2012-05-14,1016.79
2012-05-15,1011.65
2012-05-16,1003.78
2012-05-17,978.02
2012-05-18,966.07
2012-05-19,966.07
2012-05-20,966.07
2012-05-21,988.48
2012-05-22,987.62
2012-05-23,994.46
2012-05-24,995.34
2012-05-25,995.6
2012-05-26,995.6
2012-05-27,995.6
2012-05-28,995.6
2012-05-29,1011.44
2012-05-30,989.81
2012-05-31,986.23
2012-06-01,955.61
2012-06-02,955.61
2012-06-03,955.61
2012-06-04,951.07
2012-06-05,964.49
2012-06-06,991.25
2012-06-07,986
2012-06-08,994.22
2012-06-09,994.22
2012-06-10,994.22
2012-06-11,971.89
2012-06-12,984.04
2012-06-13,970.86
2012-06-14,979.54
2012-06-15,990.48
2012-06-16,990.48
2012-06-17,990.48
2012-06-18,994.57
2012-06-19,1009.95
2012-06-20,1007.87
2012-06-21,979.37
2012-06-22,987.98
2012-06-23,987.98
2012-06-24,987.98
2012-06-25,969.99
2012-06-26,974.06
2012-06-27,988.28
2012-06-28,993.71
2012-06-29,1022.53
2012-06-30,1022.53
2012-07-01,1022.53
2012-07-02,1029.44
2012-07-03,1042.73
2012-07-04,1042.73
2012-07-05,1040.89
2012-07-06,1026.13
2012-07-07,1026.13
2012-07-08,1026.13
2012-07-09,1020.66
2012-07-10,1008.91
2012-07-11,1005.38
2012-07-12,1001.24
2012-07-13,1017.28
2012-07-14,1017.28
2012-07-15,1017.28
2012-07-16,1011.36
2012-07-17,1016.94
