Date,S&P 500 ESG Quality Index (USD) TR
2011-11-30,131.36
2011-12-01,131.23
2011-12-02,130.92
2011-12-05,132.06
2011-12-06,132.15
2011-12-07,132.52
2011-12-08,130.09
2011-12-09,132.24
2011-12-12,130.3
2011-12-13,129.19
2011-12-14,127.68
2011-12-15,128.02
2011-12-16,128.45
2011-12-19,126.89
2011-12-20,130.82
2011-12-21,131.23
2011-12-22,132.32
2011-12-23,133.6
2011-12-27,133.69
2011-12-28,132
2011-12-29,133.43
2011-12-30,132.85
2012-01-03,134.36
2012-01-04,134.26
2012-01-05,134.53
2012-01-06,134.24
2012-01-09,134.67
2012-01-10,136
2012-01-11,135.71
2012-01-12,135.97
2012-01-13,135.41
2012-01-17,136.13
2012-01-18,137.52
2012-01-19,138.22
2012-01-20,137.78
2012-01-23,137.67
2012-01-24,137.8
2012-01-25,139.24
2012-01-26,138.71
2012-01-27,138.49
2012-01-30,138.06
2012-01-31,138.2
2012-02-01,139.37
2012-02-02,140.07
2012-02-03,141.95
2012-02-06,141.98
2012-02-07,142.07
2012-02-08,142.49
2012-02-09,142.93
2012-02-10,142.27
2012-02-13,143.13
2012-02-14,142.99
2012-02-15,142.28
2012-02-16,143.72
2012-02-17,143.91
2012-02-21,144.13
2012-02-22,144.03
2012-02-23,144.7
2012-02-24,145.06
2012-02-27,145.18
2012-02-28,145.59
2012-02-29,144.95
2012-03-01,145.7
2012-03-02,145.23
2012-03-05,144.45
2012-03-06,142.32
2012-03-07,143.28
2012-03-08,144.88
2012-03-09,145.48
2012-03-12,145.6
2012-03-13,147.87
2012-03-14,147.84
2012-03-15,148.56
2012-03-16,148.65
2012-03-19,149.63
2012-03-20,149.2
2012-03-21,148.98
2012-03-22,147.93
2012-03-23,148.18
2012-03-26,150.37
2012-03-27,150.07
2012-03-28,149.24
2012-03-29,149.25
2012-03-30,149.61
2012-04-02,150.95
2012-04-03,150.64
2012-04-04,149.24
2012-04-05,149.3
2012-04-09,147.7
2012-04-10,145.26
2012-04-11,146.18
2012-04-12,148.14
2012-04-13,146.62
2012-04-16,146.2
2012-04-17,148.6
2012-04-18,148.29
2012-04-19,147.32
2012-04-20,147.29
2012-04-23,145.84
2012-04-24,146.27
2012-04-25,148.31
2012-04-26,149.62
2012-04-27,149.87
2012-04-30,149.05
2012-05-01,149.66
2012-05-02,149.53
2012-05-03,148.47
2012-05-04,146.05
2012-05-07,146.06
2012-05-08,145.82
2012-05-09,144.98
2012-05-10,145.72
2012-05-11,145.23
2012-05-14,143.76
2012-05-15,143.17
2012-05-16,142.35
2012-05-17,139.88
2012-05-18,138.77
2012-05-21,141.26
2012-05-22,141.21
2012-05-23,141.82
2012-05-24,142.07
2012-05-25,141.83
2012-05-29,143.47
2012-05-30,141.25
2012-05-31,140.86
2012-06-01,137.39
2012-06-04,137.78
2012-06-05,138.41
2012-06-06,141.34
2012-06-07,141.38
2012-06-08,142.4
2012-06-11,140.72
2012-06-12,142.36
2012-06-13,141.29
2012-06-14,142.73
2012-06-15,144.19
2012-06-18,144.51
2012-06-19,145.62
2012-06-20,145.25
2012-06-21,142.06
2012-06-22,143.09
2012-06-25,140.95
2012-06-26,141.67
2012-06-27,142.62
2012-06-28,142.21
2012-06-29,145.95
2012-07-02,146.25
2012-07-03,146.94
2012-07-05,146.42
2012-07-06,145.02
2012-07-09,144.53
2012-07-10,143.51
2012-07-11,143.5
2012-07-12,142.94
2012-07-13,145.21
