Date,S&P 500 ESG Enhanced Value Index (USD) TR
2011-11-30,133.09
2011-12-01,132.82
2011-12-02,133.21
2011-12-05,134.56
2011-12-06,134.84
2011-12-07,135.59
2011-12-08,132.48
2011-12-09,134.71
2011-12-12,132.55
2011-12-13,131.4
2011-12-14,129.95
2011-12-15,130.68
2011-12-16,131.12
2011-12-19,128.98
2011-12-20,133.09
2011-12-21,133.77
2011-12-22,135.31
2011-12-23,136.64
2011-12-27,136.43
2011-12-28,134.49
2011-12-29,136.08
2011-12-30,135.54
2012-01-03,138.43
2012-01-04,138.66
2012-01-05,138.84
2012-01-06,138.54
2012-01-09,138.95
2012-01-10,140.46
2012-01-11,141.04
2012-01-12,141.42
2012-01-13,140.39
2012-01-17,140.61
2012-01-18,142.48
2012-01-19,143.35
2012-01-20,142.96
2012-01-23,142.82
2012-01-24,142.68
2012-01-25,142.76
2012-01-26,141.78
2012-01-27,141.61
2012-01-30,140.85
2012-01-31,140.75
2012-02-01,142.36
2012-02-02,142.49
2012-02-03,144.8
2012-02-06,144.9
2012-02-07,144.98
2012-02-08,145.65
2012-02-09,145.57
2012-02-10,144.5
2012-02-13,145.63
2012-02-14,145.31
2012-02-15,144.72
2012-02-16,146.41
2012-02-17,146.68
2012-02-21,146.79
2012-02-22,146
2012-02-23,146.7
2012-02-24,146.94
2012-02-27,147.45
2012-02-28,147.74
2012-02-29,146.72
2012-03-01,147.8
2012-03-02,147.26
2012-03-05,146.58
2012-03-06,144.05
2012-03-07,145.18
2012-03-08,146.69
2012-03-09,147.19
2012-03-12,147.07
2012-03-13,150.15
2012-03-14,149.42
2012-03-15,150.44
2012-03-16,150.63
2012-03-19,151.26
2012-03-20,150.75
2012-03-21,150.48
2012-03-22,149.07
2012-03-23,149.66
2012-03-26,151.61
2012-03-27,151.07
2012-03-28,150.28
2012-03-29,150.13
2012-03-30,150.56
2012-04-02,151.6
2012-04-03,150.43
2012-04-04,148.82
2012-04-05,148.22
2012-04-09,146.38
2012-04-10,143.84
2012-04-11,145.14
2012-04-12,147.42
2012-04-13,145.33
2012-04-16,145.53
2012-04-17,147.56
2012-04-18,146.91
2012-04-19,146.43
2012-04-20,146.46
2012-04-23,145.3
2012-04-24,146.21
2012-04-25,147.22
2012-04-26,148.4
2012-04-27,148.5
2012-04-30,147.72
2012-05-01,148.86
2012-05-02,148.1
2012-05-03,146.71
2012-05-04,144.19
2012-05-07,144.28
2012-05-08,143.9
2012-05-09,142.98
2012-05-10,143.36
2012-05-11,142.11
2012-05-14,140.77
2012-05-15,139.78
2012-05-16,139.12
2012-05-17,137.17
2012-05-18,136.02
2012-05-21,137.74
2012-05-22,137.77
2012-05-23,137.9
2012-05-24,138.1
2012-05-25,137.93
2012-05-29,139.68
2012-05-30,137.41
2012-05-31,136.99
2012-06-01,133.77
2012-06-04,133.65
2012-06-05,134.57
2012-06-06,138.05
2012-06-07,137.98
2012-06-08,139.2
2012-06-11,137.26
2012-06-12,138.87
2012-06-13,137.92
2012-06-14,139.52
2012-06-15,140.92
2012-06-18,140.85
2012-06-19,142.35
2012-06-20,142.02
2012-06-21,138.84
2012-06-22,139.69
2012-06-25,137.29
2012-06-26,137.83
2012-06-27,139.24
2012-06-28,138.98
2012-06-29,142.44
2012-07-02,142.41
2012-07-03,143.34
2012-07-05,142.26
2012-07-06,141
2012-07-09,140.41
2012-07-10,139.13
2012-07-11,139.22
2012-07-12,138.38
2012-07-13,140.77
2012-07-16,140.3
2012-07-17,141.46
2012-07-18,142.66
2012-07-19,143.09
2012-07-20,141.96
2012-07-23,140.8
2012-07-24,139.17
2012-07-25,139.01
2012-07-26,141.02
2012-07-27,144.01
2012-07-30,143.79
2012-07-31,143.2
2012-08-01,143.05
2012-08-02,142
2012-08-03,144.98
2012-08-06,145.63
2012-08-07,146.58
2012-08-08,147.24
2012-08-09,147.48
2012-08-10,147.8
2012-08-13,147.62
2012-08-14,147.54
2012-08-15,147.55
2012-08-16,148.9
2012-08-17,149.04
2012-08-20,149.2
2012-08-21,149.01
2012-08-22,148.84
2012-08-23,147.75
2012-08-24,148.47
2012-08-27,148.03
2012-08-28,148
2012-08-29,148.59
2012-08-30,147.48
2012-08-31,148.41
2012-09-04,147.88
2012-09-05,147.67
2012-09-06,151.31
2012-09-07,152.1
2012-09-10,151.15
2012-09-11,151.67
2012-09-12,151.94
2012-09-13,154.54
2012-09-14,155.39
2012-09-17,154.54
2012-09-18,154.26
2012-09-19,154.81
2012-09-20,154.89
2012-09-21,154.77
2012-09-24,155.09
2012-09-25,153.22
2012-09-26,152.48
2012-09-27,153.88
2012-09-28,153.22
2012-10-01,153.78
2012-10-02,154.1
2012-10-03,154.48
2012-10-04,155.9
2012-10-05,155.94
2012-10-08,155.67
2012-10-09,154.37
2012-10-10,153.26
2012-10-11,153.72
2012-10-12,152.93
2012-10-15,154.14
2012-10-16,156.12
2012-10-17,157.31
2012-10-18,156.94
2012-10-19,154.3
2012-10-22,154.33
2012-10-23,152.16
2012-10-24,151.51
2012-10-25,152.23
2012-10-26,151.97
2012-10-31,151.86
2012-11-01,153.78
2012-11-02,152.48
2012-11-05,152.61
2012-11-06,153.97
2012-11-07,150.18
2012-11-08,148.16
2012-11-09,148.41
2012-11-12,148.46
2012-11-13,147.76
2012-11-14,145.83
2012-11-15,145.65
2012-11-16,146.32
2012-11-19,149.07
2012-11-20,149.22
2012-11-21,149.39
2012-11-23,151.19
2012-11-26,150.85
2012-11-27,150.36
2012-11-28,151.81
