Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2011-11-30,4674.49
2011-12-01,4661.99
2011-12-02,4665.97
2011-12-05,4751.91
2011-12-06,4745.49
2011-12-07,4730.37
2011-12-08,4567.15
2011-12-09,4679.36
2011-12-12,4559.7
2011-12-13,4458.68
2011-12-14,4360.11
2011-12-15,4369.05
2011-12-16,4395.83
2011-12-19,4286.46
2011-12-20,4489.96
2011-12-21,4490.04
2011-12-22,4583.23
2011-12-23,4610.53
2011-12-27,4587.4
2011-12-28,4497.74
2011-12-29,4552.95
2011-12-30,4553.91
2012-01-03,4687.02
2012-01-04,4688.09
2012-01-05,4714.69
2012-01-06,4715.79
2012-01-09,4751.89
2012-01-10,4826.46
2012-01-11,4842.56
2012-01-12,4863.05
2012-01-13,4789.97
2012-01-17,4799.34
2012-01-18,4920.32
2012-01-19,4995.42
2012-01-20,4985.89
2012-01-23,5006.4
2012-01-24,5030.61
2012-01-25,5084.28
2012-01-26,5018.97
2012-01-27,5030.72
2012-01-30,4993.22
2012-01-31,4983.59
2012-02-01,5052.85
2012-02-02,5082.29
2012-02-03,5215.67
2012-02-06,5229.28
2012-02-07,5225.8
2012-02-08,5233.59
2012-02-09,5246.4
2012-02-10,5174.16
2012-02-13,5213.15
2012-02-14,5193.47
2012-02-15,5196.96
2012-02-16,5291.88
2012-02-17,5293.37
2012-02-21,5285.77
2012-02-22,5256.05
2012-02-23,5319.58
2012-02-24,5338.68
2012-02-27,5336.02
2012-02-28,5337.51
2012-02-29,5274.61
2012-03-01,5329.76
2012-03-02,5281.36
2012-03-05,5190
2012-03-06,5066.76
2012-03-07,5125.8
2012-03-08,5210.85
2012-03-09,5256.68
2012-03-12,5205.24
2012-03-13,5330.02
2012-03-14,5294.08
2012-03-15,5364.59
2012-03-16,5400.74
2012-03-19,5422.08
2012-03-20,5359.58
2012-03-21,5337.32
2012-03-22,5247.29
2012-03-23,5279.97
2012-03-26,5349.92
2012-03-27,5321.96
2012-03-28,5246.29
2012-03-29,5237.99
2012-03-30,5254.06
2012-04-02,5305.85
2012-04-03,5267.37
2012-04-04,5169.76
2012-04-05,5143.81
2012-04-09,5057.37
2012-04-10,4939.47
2012-04-11,4991.64
2012-04-12,5122.28
2012-04-13,5021.18
2012-04-16,4990.73
2012-04-17,5082.8
2012-04-18,5040.61
2012-04-19,5036.88
2012-04-20,5003.23
2012-04-23,4951.56
2012-04-24,4958.86
2012-04-25,5056.29
2012-04-26,5092
2012-04-27,5089.17
2012-04-30,5094.1
2012-05-01,5159.78
2012-05-02,5111.82
2012-05-03,5005.22
2012-05-04,4883.56
2012-05-07,4873.15
2012-05-08,4835.02
2012-05-09,4835.99
2012-05-10,4820.59
2012-05-11,4800.67
2012-05-14,4726.98
2012-05-15,4648.79
2012-05-16,4578.46
2012-05-17,4483.3
2012-05-18,4424.84
2012-05-21,4561.48
2012-05-22,4552.82
2012-05-23,4585.39
2012-05-24,4549.72
2012-05-25,4564.89
2012-05-29,4660.88
2012-05-30,4527.58
2012-05-31,4482
2012-06-01,4322.06
2012-06-04,4305.91
2012-06-05,4375.83
2012-06-06,4519.25
2012-06-07,4486.13
2012-06-08,4519.51
2012-06-11,4406.44
2012-06-12,4486.87
2012-06-13,4412.21
2012-06-14,4453.74
2012-06-15,4535.63
2012-06-18,4523.7
2012-06-19,4619.97
2012-06-20,4625.92
2012-06-21,4451.46
2012-06-22,4485.1
2012-06-25,4356.28
2012-06-26,4390.66
2012-06-27,4474.77
2012-06-28,4493.92
2012-06-29,4653.13
2012-07-02,4652.72
2012-07-03,4749.54
2012-07-05,4709.33
2012-07-06,4631.01
2012-07-09,4581.27
2012-07-10,4492.5
2012-07-11,4488.81
2012-07-12,4438.34
2012-07-13,4520.19
2012-07-16,4505.81
2012-07-17,4545.05
2012-07-18,4607.52
2012-07-19,4637.39
2012-07-20,4584.35
2012-07-23,4529.02
2012-07-24,4450.84
2012-07-25,4456.97
2012-07-26,4596.03
2012-07-27,4741.91
2012-07-30,4721.94
2012-07-31,4701.34
2012-08-01,4692.95
2012-08-02,4625.05
2012-08-03,4760.93
2012-08-06,4805.97
2012-08-07,4898.7
2012-08-08,4931.61
2012-08-09,4977.9
2012-08-10,4986.07
2012-08-13,4967.67
2012-08-14,4936.01
2012-08-15,4960.8
2012-08-16,5028.21
2012-08-17,5036.79
2012-08-20,5022.79
2012-08-21,5034.17
2012-08-22,5021.26
2012-08-23,4936.57
2012-08-24,4954.09
2012-08-27,4931.45
2012-08-28,4920.51
2012-08-29,4928.36
2012-08-30,4849.28
2012-08-31,4889.88
2012-09-04,4856.52
2012-09-05,4852.52
2012-09-06,4993.12
2012-09-07,5077.72
2012-09-10,5041.99
2012-09-11,5106.74
2012-09-12,5135.1
2012-09-13,5238.89
2012-09-14,5322.86
2012-09-17,5248.24
2012-09-18,5201.94
2012-09-19,5211.24
2012-09-20,5173.79
2012-09-21,5158.85
2012-09-24,5115.06
2012-09-25,5003.88
2012-09-26,4950.3
2012-09-27,5028.38
2012-09-28,4982.18
2012-10-01,4981.33
2012-10-02,4973.74
2012-10-03,4951.77
2012-10-04,5004
2012-10-05,4995.05
2012-10-08,4980.96
2012-10-09,4956.37
2012-10-10,4903.03
2012-10-11,4964.95
2012-10-12,4926.39
2012-10-15,4971.65
2012-10-16,5059.78
2012-10-17,5101.22
2012-10-18,5093.08
2012-10-19,4987.08
2012-10-22,4999
2012-10-23,4913.76
2012-10-24,4851.72
2012-10-25,4874.24
2012-10-26,4842.07
2012-10-31,4847.55
2012-11-01,4966.22
2012-11-02,4896.76
2012-11-05,4944.54
2012-11-06,5013.31
2012-11-07,4870.36
2012-11-08,4789.91
2012-11-09,4802.81
2012-11-12,4812.78
