Date,S&P 500 Low Rate-Sensitivity Index (USD) TR
2011-11-30,5126.46
2011-12-01,5112.78
2011-12-02,5102.14
2011-12-05,5159.87
2011-12-06,5157.26
2011-12-07,5166.45
2011-12-08,5052.74
2011-12-09,5139.69
2011-12-12,5074.04
2011-12-13,5016.83
2011-12-14,4967.58
2011-12-15,4998.88
2011-12-16,5013.04
2011-12-19,4951.52
2011-12-20,5101
2011-12-21,5127.76
2011-12-22,5168.55
2011-12-23,5209.28
2011-12-27,5216.05
2011-12-28,5149.16
2011-12-29,5206.91
2011-12-30,5181.77
2012-01-03,5234.35
2012-01-04,5228.05
2012-01-05,5248.81
2012-01-06,5238.72
2012-01-09,5252.45
2012-01-10,5309.06
2012-01-11,5315.89
2012-01-12,5334.04
2012-01-13,5308.74
2012-01-17,5325.75
2012-01-18,5385.53
2012-01-19,5413
2012-01-20,5407.64
2012-01-23,5409.61
2012-01-24,5410.74
2012-01-25,5462.87
2012-01-26,5436.96
2012-01-27,5429.58
2012-01-30,5404.43
2012-01-31,5402.88
2012-02-01,5464.62
2012-02-02,5468.66
2012-02-03,5548.22
2012-02-06,5534.86
2012-02-07,5546.11
2012-02-08,5559.21
2012-02-09,5568.74
2012-02-10,5530.43
2012-02-13,5561.04
2012-02-14,5559.83
2012-02-15,5543.1
2012-02-16,5603.84
2012-02-17,5616.69
2012-02-21,5597.35
2012-02-22,5574.51
2012-02-23,5601.64
2012-02-24,5607.36
2012-02-27,5612.51
2012-02-28,5618.17
2012-02-29,5594.23
2012-03-01,5624.73
2012-03-02,5603
2012-03-05,5590.09
2012-03-06,5502.24
2012-03-07,5542.13
2012-03-08,5598.79
2012-03-09,5630.25
2012-03-12,5629.24
2012-03-13,5717.68
2012-03-14,5699.23
2012-03-15,5737.03
2012-03-16,5735.8
2012-03-19,5747.01
2012-03-20,5728.53
2012-03-21,5730.55
2012-03-22,5693.16
2012-03-23,5707.43
2012-03-26,5782.99
2012-03-27,5771.91
2012-03-28,5737.26
2012-03-29,5731.26
2012-03-30,5751.17
2012-04-02,5795.14
2012-04-03,5775.19
2012-04-04,5723.64
2012-04-05,5714.2
2012-04-09,5643.76
2012-04-10,5543.13
2012-04-11,5595.56
2012-04-12,5669.76
2012-04-13,5617.66
2012-04-16,5623.44
2012-04-17,5699.29
