Date,S&P 500 Quality - Lowest Quintile Index TR
2011-11-30,227.49
2011-12-01,227.35
2011-12-02,228.82
2011-12-05,232.49
2011-12-06,232.36
2011-12-07,233.3
2011-12-08,225.75
2011-12-09,230.82
2011-12-12,225.68
2011-12-13,222.49
2011-12-14,219.52
2011-12-15,219.91
2011-12-16,220.72
2011-12-19,216.41
2011-12-20,223.84
2011-12-21,224.88
2011-12-22,228.51
2011-12-23,229.52
2011-12-27,228.27
2011-12-28,224.63
2011-12-29,227.56
2011-12-30,226.78
2012-01-03,232.59
2012-01-04,232.54
2012-01-05,234.48
2012-01-06,233.82
2012-01-09,235.19
2012-01-10,238.6
2012-01-11,240.28
2012-01-12,240.68
2012-01-13,238.54
2012-01-17,237.26
2012-01-18,241.73
2012-01-19,244.58
2012-01-20,245.25
2012-01-23,245.38
2012-01-24,245.52
2012-01-25,247.62
2012-01-26,246.76
2012-01-27,246.98
2012-01-30,245.02
2012-01-31,245.77
2012-02-01,248.4
2012-02-02,249.43
2012-02-03,255.03
2012-02-06,254.76
2012-02-07,254.25
2012-02-08,255.51
2012-02-09,254.99
2012-02-10,252.24
2012-02-13,254.32
2012-02-14,252.79
2012-02-15,251.29
2012-02-16,254.18
2012-02-17,255.11
2012-02-21,255.6
2012-02-22,253.99
2012-02-23,255.63
2012-02-24,255.53
2012-02-27,256.3
2012-02-28,257.02
2012-02-29,255.71
2012-03-01,258.49
2012-03-02,257.3
2012-03-05,255.65
2012-03-06,250.01
2012-03-07,253.42
2012-03-08,256.42
2012-03-09,257.66
2012-03-12,256.86
2012-03-13,264.2
2012-03-14,263.36
2012-03-15,266.77
2012-03-16,268.34
2012-03-19,269.32
2012-03-20,269.65
2012-03-21,269
2012-03-22,265.79
2012-03-23,267.84
2012-03-26,271.16
2012-03-27,268.97
2012-03-28,268.3
2012-03-29,266.95
2012-03-30,267.94
2012-04-02,269.71
2012-04-03,268.45
2012-04-04,264.28
2012-04-05,263.56
2012-04-09,259.64
2012-04-10,253.97
2012-04-11,257.38
2012-04-12,262.28
2012-04-13,257.34
2012-04-16,258.08
2012-04-17,261.72
2012-04-18,260.2
2012-04-19,258.95
2012-04-20,258.23
2012-04-23,255.73
2012-04-24,257.8
2012-04-25,260.72
2012-04-26,262.29
2012-04-27,263.9
2012-04-30,263.22
2012-05-01,265.57
2012-05-02,263.84
2012-05-03,260.81
2012-05-04,255.68
2012-05-07,256.41
2012-05-08,254.61
2012-05-09,252.23
2012-05-10,252.82
2012-05-11,250.08
2012-05-14,245.76
2012-05-15,244.06
2012-05-16,241.87
2012-05-17,237.19
2012-05-18,235.6
2012-05-21,239
2012-05-22,240.07
2012-05-23,241.13
2012-05-24,240.85
2012-05-25,240.1
2012-05-29,243.5
2012-05-30,238.24
2012-05-31,238.55
2012-06-01,230.97
2012-06-04,229.68
2012-06-05,232.68
2012-06-06,239.34
2012-06-07,238.54
2012-06-08,241.04
2012-06-11,236.9
2012-06-12,240.49
2012-06-13,238.88
2012-06-14,241.97
2012-06-15,245.1
2012-06-18,244.72
2012-06-19,248.1
2012-06-20,248.59
2012-06-21,242.84
2012-06-22,244.6
2012-06-25,239.94
2012-06-26,240.87
2012-06-27,244.03
2012-06-28,243.77
2012-06-29,249.82
2012-07-02,250.74
2012-07-03,252.7
2012-07-05,249.8
2012-07-06,247.19
2012-07-09,246.04
2012-07-10,243.7
2012-07-11,244.76
2012-07-12,242.89
2012-07-13,248.19
2012-07-16,247.21
2012-07-17,249.14
2012-07-18,248.99
2012-07-19,248.24
2012-07-20,245.62
2012-07-23,243.69
2012-07-24,242.2
2012-07-25,242.72
2012-07-26,246.87
2012-07-27,252.12
2012-07-30,251.6
2012-07-31,250.73
2012-08-01,250.09
2012-08-02,247.97
2012-08-03,253.33
2012-08-06,254.41
2012-08-07,255.49
