Date,S&P 500 Pure Growth (TR)
2011-11-30,4861.85
2011-12-01,4877.27
2011-12-02,4861.67
2011-12-05,4926.51
2011-12-06,4905.99
2011-12-07,4902.89
2011-12-08,4794.92
2011-12-09,4876.72
2011-12-12,4813.31
2011-12-13,4732.51
2011-12-14,4650.65
2011-12-15,4652.62
2011-12-16,4671.11
2011-12-19,4620.26
2011-12-20,4762.87
2011-12-21,4748.02
2011-12-22,4788.34
2011-12-23,4825.28
2011-12-27,4834.3
2011-12-28,4772.86
2011-12-29,4817.21
2011-12-30,4795.68
2012-01-03,4854.97
2012-01-04,4858.67
2012-01-05,4883.8
2012-01-06,4891.52
2012-01-09,4907.66
2012-01-10,4955.56
2012-01-11,4958.18
2012-01-12,4977.54
2012-01-13,4953.7
2012-01-17,4978.77
2012-01-18,5053.59
2012-01-19,5095.95
2012-01-20,5066.68
2012-01-23,5065.88
2012-01-24,5084.67
2012-01-25,5140.47
2012-01-26,5122.27
2012-01-27,5134.92
2012-01-30,5112.3
2012-01-31,5112.05
2012-02-01,5163.74
2012-02-02,5175.07
2012-02-03,5246.64
2012-02-06,5234.38
2012-02-07,5239.64
2012-02-08,5251.36
2012-02-09,5269.52
2012-02-10,5232.81
2012-02-13,5258.79
2012-02-14,5273.6
2012-02-15,5251.55
2012-02-16,5291.67
2012-02-17,5284.35
2012-02-21,5269.46
2012-02-22,5269.17
2012-02-23,5290.45
2012-02-24,5309.5
2012-02-27,5310.11
2012-02-28,5324.76
2012-02-29,5288.59
2012-03-01,5327.4
2012-03-02,5310.67
2012-03-05,5274.33
2012-03-06,5196.77
2012-03-07,5232.57
2012-03-08,5297.24
2012-03-09,5325.2
2012-03-12,5305.86
2012-03-13,5387.7
2012-03-14,5373.7
2012-03-15,5406.66
2012-03-16,5413.05
2012-03-19,5434.44
2012-03-20,5411.82
2012-03-21,5429.02
2012-03-22,5403.48
2012-03-23,5409.54
2012-03-26,5495.53
2012-03-27,5478.21
2012-03-28,5442.83
2012-03-29,5451.76
2012-03-30,5467.21
2012-04-02,5517.03
2012-04-03,5510.45
2012-04-04,5442.85
2012-04-05,5469.16
2012-04-09,5400.93
2012-04-10,5305.41
2012-04-11,5348.93
2012-04-12,5425.14
2012-04-13,5376.23
2012-04-16,5347.49
2012-04-17,5434.27
2012-04-18,5429.9
2012-04-19,5407.03
2012-04-20,5393.19
2012-04-23,5332.35
2012-04-24,5305.87
2012-04-25,5400.59
2012-04-26,5444.65
2012-04-27,5481.75
2012-04-30,5453.54
2012-05-01,5477.52
2012-05-02,5483.26
2012-05-03,5437.03
2012-05-04,5331.29
2012-05-07,5323.74
2012-05-08,5264.03
2012-05-09,5243.77
2012-05-10,5233.48
2012-05-11,5239.06
2012-05-14,5177.55
2012-05-15,5162.62
2012-05-16,5137.8
2012-05-17,5030.33
2012-05-18,4987.58
2012-05-21,5095.58
2012-05-22,5091.9
2012-05-23,5121.35
2012-05-24,5116.21
2012-05-25,5113.43
2012-05-29,5167.72
2012-05-30,5092.86
2012-05-31,5056.19
2012-06-01,4917.21
2012-06-04,4945.11
2012-06-05,4989.66
2012-06-06,5098.58
2012-06-07,5078.42
2012-06-08,5122.09
2012-06-11,5047.77
2012-06-12,5105.97
2012-06-13,5057.32
2012-06-14,5106.57
2012-06-15,5176.86
2012-06-18,5216.34
2012-06-19,5273.5
2012-06-20,5259.86
2012-06-21,5114.63
2012-06-22,5179.84
2012-06-25,5098.27
2012-06-26,5131.31
2012-06-27,5149.59
2012-06-28,5110.42
2012-06-29,5248.86
2012-07-02,5269.11
2012-07-03,5306.2
2012-07-05,5306.69
2012-07-06,5232.82
2012-07-09,5213.38
2012-07-10,5154.36
2012-07-11,5141.72
2012-07-12,5136.23
2012-07-13,5205.95
2012-07-16,5186.03
2012-07-17,5216.06
2012-07-18,5261.37
2012-07-19,5294.32
2012-07-20,5206.55
2012-07-23,5142.64
2012-07-24,5077.41
2012-07-25,5078.83
2012-07-26,5146.51
2012-07-27,5262.86
2012-07-30,5234.18
2012-07-31,5184.58
2012-08-01,5151.28
2012-08-02,5129.07
2012-08-03,5234.68
2012-08-06,5257.47
2012-08-07,5318.48
2012-08-08,5310.33
2012-08-09,5304.57
2012-08-10,5307.66
2012-08-13,5302.66
2012-08-14,5299.58
2012-08-15,5327.79
2012-08-16,5366.48
2012-08-17,5373.59
2012-08-20,5362.56
2012-08-21,5351.61
2012-08-22,5363.34
2012-08-23,5324.05
2012-08-24,5363.8
2012-08-27,5358.88
2012-08-28,5354.96
2012-08-29,5364.15
2012-08-30,5312.47
2012-08-31,5343.14
2012-09-04,5337.39
2012-09-05,5325.12
2012-09-06,5440.43
2012-09-07,5472.08
2012-09-10,5434.31
2012-09-11,5443.39
2012-09-12,5453.56
2012-09-13,5525.91
2012-09-14,5563.39
2012-09-17,5553.56
2012-09-18,5547.79
2012-09-19,5562.37
2012-09-20,5551.63
2012-09-21,5550.83
2012-09-24,5521.91
2012-09-25,5467
2012-09-26,5434.11
2012-09-27,5499.66
2012-09-28,5481.51
2012-10-01,5498.1
2012-10-02,5506.69
2012-10-03,5534.9
2012-10-04,5571.78
2012-10-05,5565.07
