Date,S&P 500 Pure Value (TR)
2011-11-30,4500.62
2011-12-01,4486.53
2011-12-02,4482.59
2011-12-05,4538.63
2011-12-06,4530.85
2011-12-07,4542.35
2011-12-08,4415.37
2011-12-09,4497.44
2011-12-12,4424.68
2011-12-13,4377.24
2011-12-14,4328.95
2011-12-15,4364.9
2011-12-16,4367.88
2011-12-19,4253.66
2011-12-20,4419.32
2011-12-21,4448.33
2011-12-22,4528.5
2011-12-23,4560.69
2011-12-27,4506.31
2011-12-28,4429.09
2011-12-29,4488.33
2011-12-30,4479.87
2012-01-03,4584.12
2012-01-04,4574.74
2012-01-05,4591.57
2012-01-06,4577.82
2012-01-09,4594.37
2012-01-10,4690.08
2012-01-11,4727.79
2012-01-12,4749.98
2012-01-13,4697.05
2012-01-17,4685.2
2012-01-18,4792.46
2012-01-19,4839.27
2012-01-20,4863.78
2012-01-23,4874.27
2012-01-24,4879.47
2012-01-25,4897.93
2012-01-26,4832.94
2012-01-27,4844.12
2012-01-30,4802.85
2012-01-31,4798.25
2012-02-01,4900.63
2012-02-02,4915.77
2012-02-03,5060.45
2012-02-06,5055.16
2012-02-07,5058.34
2012-02-08,5113.72
2012-02-09,5120.06
2012-02-10,5062.14
2012-02-13,5098.26
2012-02-14,5080.47
2012-02-15,5083.2
2012-02-16,5176.5
2012-02-17,5191.63
2012-02-21,5181.03
2012-02-22,5130.38
2012-02-23,5184.72
2012-02-24,5178.65
2012-02-27,5200.21
2012-02-28,5209.78
2012-02-29,5164.49
2012-03-01,5216.33
2012-03-02,5194.57
2012-03-05,5159.66
2012-03-06,5029.57
2012-03-07,5088.37
2012-03-08,5154.2
2012-03-09,5195.19
2012-03-12,5164.5
2012-03-13,5293.01
2012-03-14,5272.61
2012-03-15,5359.2
2012-03-16,5358.07
2012-03-19,5365
2012-03-20,5344.49
2012-03-21,5331.02
2012-03-22,5242.91
2012-03-23,5278.36
2012-03-26,5350.06
2012-03-27,5317.67
2012-03-28,5276.95
2012-03-29,5240.43
2012-03-30,5235.92
2012-04-02,5279.68
2012-04-03,5230.37
2012-04-04,5160.38
2012-04-05,5129.26
2012-04-09,5042.23
2012-04-10,4922.67
2012-04-11,4978.96
2012-04-12,5082.5
2012-04-13,4982.74
2012-04-16,4981.29
2012-04-17,5051.19
2012-04-18,4990.66
2012-04-19,4972.57
2012-04-20,4956.31
2012-04-23,4923.03
2012-04-24,4958.28
2012-04-25,5017.75
2012-04-26,5043.38
2012-04-27,5044.32
2012-04-30,5030.86
2012-05-01,5085.24
2012-05-02,5039.56
2012-05-03,4954.86
2012-05-04,4855.97
2012-05-07,4852.31
2012-05-08,4828.37
2012-05-09,4818.22
2012-05-10,4840.76
2012-05-11,4808.72
2012-05-14,4731.52
2012-05-15,4676.69
2012-05-16,4615.41
2012-05-17,4525.35
2012-05-18,4478.12
2012-05-21,4557.66
2012-05-22,4566.37
2012-05-23,4577.73
2012-05-24,4588.41
2012-05-25,4606.87
2012-05-29,4681.78
2012-05-30,4580.55
2012-05-31,4567.27
2012-06-01,4416.36
2012-06-04,4386.08
2012-06-05,4448.95
2012-06-06,4586.15
2012-06-07,4570.99
2012-06-08,4609.92
2012-06-11,4517.1
2012-06-12,4585.88
2012-06-13,4537.69
2012-06-14,4585.45
2012-06-15,4643.97
2012-06-18,4627.83
2012-06-19,4713.37
2012-06-20,4730.97
2012-06-21,4601.65
2012-06-22,4637.32
2012-06-25,4522.89
2012-06-26,4560.46
2012-06-27,4626.32
2012-06-28,4656.28
2012-06-29,4777.91
2012-07-02,4785.21
2012-07-03,4838.88
2012-07-05,4778.55
2012-07-06,4735.67
2012-07-09,4682.08
2012-07-10,4640.82
2012-07-11,4657.14
2012-07-12,4592.61
2012-07-13,4685.42
2012-07-16,4662.16
2012-07-17,4700.55
2012-07-18,4719.77
2012-07-19,4701.82
2012-07-20,4620.32
2012-07-23,4577.64
2012-07-24,4522.74
2012-07-25,4524.13
2012-07-26,4620.3
2012-07-27,4734.13
2012-07-30,4730.34
2012-07-31,4726.18
2012-08-01,4698.22
2012-08-02,4656.92
2012-08-03,4771.06
2012-08-06,4809.12
2012-08-07,4873.21
2012-08-08,4953.06
2012-08-09,4971.72
2012-08-10,4989.23
2012-08-13,4996.52
2012-08-14,4991.74
2012-08-15,5007.25
2012-08-16,5054.75
2012-08-17,5070.32
2012-08-20,5092.1
2012-08-21,5083.89
2012-08-22,5056.9
2012-08-23,5006.16
2012-08-24,5036.77
2012-08-27,5033.23
2012-08-28,5029.21
2012-08-29,5051.25
2012-08-30,5020.05
2012-08-31,5051.78
2012-09-04,5052.61
2012-09-05,5060.29
2012-09-06,5173.13
2012-09-07,5219.14
2012-09-10,5198.58
2012-09-11,5248.46
2012-09-12,5269.85
2012-09-13,5353.61
2012-09-14,5428.72
2012-09-17,5364.6
2012-09-18,5333.34
2012-09-19,5361.28
2012-09-20,5333.57
2012-09-21,5325.32
2012-09-24,5321.74
2012-09-25,5225.33
2012-09-26,5192.94
2012-09-27,5252.33
2012-09-28,5223.99
2012-10-01,5243.82
2012-10-02,5256.59
2012-10-03,5265.59
2012-10-04,5335.88
2012-10-05,5342.63
2012-10-08,5336.92
2012-10-09,5298.27
2012-10-10,5259.36
2012-10-11,5304.39
2012-10-12,5251
2012-10-15,5295.89
2012-10-16,5356.43
2012-10-17,5429.74
2012-10-18,5438.53
2012-10-19,5356.06
2012-10-22,5360.65
2012-10-23,5278.55
2012-10-24,5278.45
2012-10-25,5303.5
2012-10-26,5262.81
2012-10-31,5284.99
2012-11-01,5356.91
