,Date,MSFT,S&P 500 Pure Value (TR),S&P 500 ESG Quality Index (USD) TR,S&P 500 Low Rate-Sensitivity Index (USD) TR,S&P 500 Quality - Lowest Quintile Index TR,Dow Jones U.S. High Momentum Total Return Index,Dow Jones U.S. Thematic Long Size Total Return Index,S&P 500 High Rate-Sensitivity 100 Index (USD) TR,S&P 500 Pure Growth (TR),S&P 500 ESG Enhanced Value Index (USD) TR,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR,S&P 500 Volatility - Highest Quintile Index TR
0,2014-12-03,48.08000183105469,9398.04,236.93,9542.97,422.37,1690.14,1731.08,8166.84,9167.89,245.23,8937.82,1454.16
1,2014-12-04,48.84000015258789,9365.96,236.47,9528.51,421.22,1690.36,1722.64,8147.07,9158.68,245.0,8942.9,1451.43
2,2014-12-05,48.41999816894531,9373.74,236.99,9531.21,422.33,1693.28,1726.01,8181.13,9183.37,245.31,8916.17,1452.03
3,2014-12-08,47.70000076293945,9289.06,234.94,9487.56,419.81,1677.35,1702.09,8064.7,9108.83,243.78,8931.76,1428.92
4,2014-12-09,47.59000015258789,9308.51,235.0,9500.33,420.33,1682.0,1719.63,8095.07,9125.11,243.51,8938.27,1438.79
5,2014-12-10,46.900001525878906,9132.33,231.25,9356.62,412.56,1652.93,1681.61,7912.87,8976.19,239.22,8837.2,1408.85
6,2014-12-11,47.16999816894531,9182.67,232.14,9413.73,414.19,1660.42,1688.21,7932.84,9040.01,240.71,8903.92,1417.87
7,2014-12-12,46.95000076293945,9025.92,228.37,9279.83,407.24,1635.97,1665.77,7756.23,8902.6,236.47,8797.33,1398.86
8,2014-12-15,46.66999816894531,8990.55,227.41,9229.26,403.63,1622.75,1653.26,7717.01,8846.04,234.84,8734.6,1391.22
9,2014-12-16,45.15999984741211,8946.2,225.8,9171.66,398.26,1609.72,1650.0,7659.35,8728.56,232.8,8689.53,1377.53
10,2014-12-17,45.7400016784668,9140.46,230.57,9352.37,406.45,1649.53,1692.32,7877.4,8931.75,237.49,8849.55,1413.79
11,2014-12-18,47.52000045776367,9334.06,237.09,9548.96,415.28,1681.92,1719.47,8068.28,9144.69,243.48,9019.93,1445.39
12,2014-12-19,47.65999984741211,9420.91,238.5,9579.95,417.97,1688.56,1730.6,8176.39,9183.84,245.16,9023.68,1465.61
13,2014-12-22,47.97999954223633,9383.53,238.06,9617.79,420.42,1694.82,1736.46,8185.32,9201.25,246.41,9056.83,1460.23
14,2014-12-23,48.45000076293945,9467.94,238.35,9636.72,421.44,1693.68,1742.46,8252.93,9157.45,247.38,9059.77,1459.06
15,2014-12-24,48.13999938964844,9431.33,238.5,9653.7,421.25,1698.44,1743.66,8238.14,9176.84,247.22,9102.16,1459.55
16,2014-12-26,47.880001068115234,9462.05,239.28,9689.75,422.94,1707.41,1750.64,8250.96,9214.75,248.04,9156.3,1465.72
17,2014-12-29,47.45000076293945,9511.92,239.7,9719.68,424.78,1711.68,1761.49,8280.33,9227.5,248.08,9197.46,1470.08
18,2014-12-30,47.02000045776367,9486.19,238.44,9660.23,423.07,1702.02,1752.23,8248.32,9172.37,247.51,9120.65,1460.39
19,2014-12-31,46.45000076293945,9390.04,236.0,9558.34,419.23,1685.94,1736.5,8171.81,9100.67,245.02,9002.05,1451.61
20,2015-01-02,46.7599983215332,9378.83,236.02,9568.76,419.57,1689.75,1731.99,8154.48,9103.57,245.31,9036.8,1450.78
21,2015-01-05,46.33000183105469,9092.84,231.94,9423.59,411.44,1669.02,1699.35,7917.37,8960.11,240.1,8958.56,1417.26
22,2015-01-06,45.650001525878906,8980.37,229.67,9359.76,406.84,1655.0,1680.85,7797.71,8863.39,237.55,8959.39,1396.74
23,2015-01-07,46.22999954223633,9031.22,232.56,9485.79,412.17,1678.38,1696.55,7868.85,9011.3,240.0,9089.12,1413.25
24,2015-01-08,47.59000015258789,9215.25,236.8,9630.26,418.68,1710.76,1724.05,8044.44,9179.31,244.01,9191.46,1442.36
25,2015-01-09,47.18999862670898,9109.96,234.93,9554.13,414.97,1702.61,1709.1,7969.12,9139.65,241.66,9133.95,1432.24
26,2015-01-12,46.59999847412109,8965.56,232.81,9494.78,412.26,1692.88,1698.24,7825.62,9056.64,239.56,9104.86,1410.79
27,2015-01-13,46.36000061035156,8908.38,231.85,9477.15,410.64,1691.07,1697.57,7765.06,9009.68,238.78,9099.09,1403.12
28,2015-01-14,45.959999084472656,8851.05,230.36,9451.26,407.3,1688.19,1690.55,7676.45,8971.66,236.91,9120.16,1396.15
29,2015-01-15,45.47999954223633,8723.04,227.97,9398.23,402.17,1673.42,1668.56,7535.04,8833.87,234.83,9124.96,1369.99
30,2015-01-16,46.2400016784668,8901.32,231.43,9518.58,407.02,1697.93,1694.03,7650.5,8972.19,237.57,9224.88,1399.24
31,2015-01-20,46.38999938964844,8853.15,232.08,9524.84,406.82,1700.15,1687.43,7623.13,8995.85,237.01,9251.66,1402.67
32,2015-01-21,45.91999816894531,8973.93,232.7,9579.08,409.89,1707.0,1698.83,7727.84,9043.15,238.63,9285.53,1420.87
33,2015-01-22,47.130001068115234,9099.37,236.46,9698.45,417.09,1734.1,1725.27,7858.21,9156.99,242.75,9361.87,1438.19
34,2015-01-23,47.18000030517578,9047.89,234.86,9658.92,415.4,1733.92,1720.96,7800.45,9163.99,240.66,9340.98,1439.64
35,2015-01-26,47.0099983215332,9124.88,235.84,9693.64,417.53,1748.67,1738.82,7855.32,9211.06,240.92,9358.09,1452.02
36,2015-01-27,42.65999984741211,9085.1,233.46,9627.5,413.14,1738.44,1730.38,7772.2,9107.66,237.32,9323.41,1440.1
37,2015-01-28,41.18999862670898,8839.56,230.57,9507.19,407.19,1719.53,1702.85,7596.31,9014.36,233.65,9229.36,1417.36
38,2015-01-29,42.0099983215332,8894.81,233.23,9590.78,411.96,1736.23,1720.97,7679.94,9133.77,236.17,9302.27,1431.64
39,2015-01-30,40.400001525878906,8862.27,229.92,9457.83,408.88,1707.77,1699.17,7611.57,8981.48,233.05,9148.83,1421.01
40,2015-02-02,41.27999877929688,9087.15,233.02,9557.98,413.64,1715.51,1719.75,7768.76,9031.03,236.0,9215.54,1439.68
41,2015-02-03,41.59999847412109,9314.4,236.89,9689.07,419.74,1738.43,1755.23,7994.21,9143.99,240.46,9293.41,1466.13
42,2015-02-04,41.84000015258789,9221.16,234.43,9643.58,418.64,1736.62,1745.33,7932.52,9126.29,238.9,9248.27,1453.84
43,2015-02-05,42.45000076293945,9341.01,236.69,9746.44,423.89,1758.25,1762.82,8031.79,9221.19,241.0,9328.2,1465.72
44,2015-02-06,42.40999984741211,9354.6,235.71,9663.62,422.7,1740.1,1757.54,8059.1,9165.4,240.62,9149.4,1460.39
45,2015-02-09,42.36000061035156,9383.02,234.61,9617.85,420.73,1724.68,1750.81,8054.6,9099.7,239.73,9091.32,1454.74
46,2015-02-10,42.59999847412109,9394.94,237.23,9723.82,425.72,1747.44,1762.29,8102.31,9250.11,241.78,9202.03,1471.36
47,2015-02-11,42.380001068115234,9371.94,237.16,9700.18,426.0,1747.32,1764.25,8100.72,9269.88,241.39,9145.6,1470.16
48,2015-02-12,43.09000015258789,9460.51,239.51,9785.58,431.1,1765.76,1783.27,8216.3,9386.72,244.02,9198.43,1496.26
49,2015-02-13,43.869998931884766,9528.33,240.7,9803.07,432.46,1767.17,1793.98,8294.61,9408.97,245.17,9167.27,1510.44
50,2015-02-17,43.58000183105469,9591.3,241.42,9814.66,432.74,1769.49,1796.73,8337.2,9422.53,245.61,9171.12,1515.37
51,2015-02-18,43.52999877929688,9545.11,241.35,9848.13,432.96,1781.79,1801.22,8290.45,9449.44,245.31,9257.78,1515.17
52,2015-02-19,43.5,9553.51,240.74,9828.6,433.47,1776.16,1799.42,8309.29,9465.94,244.74,9209.7,1521.92
53,2015-02-20,43.86000061035156,9570.89,242.73,9885.31,437.4,1791.35,1809.63,8345.72,9546.08,246.11,9255.5,1530.16
54,2015-02-23,44.150001525878906,9536.79,242.91,9892.11,436.16,1797.43,1808.04,8304.45,9541.4,245.38,9289.23,1522.04
55,2015-02-24,44.09000015258789,9571.55,243.83,9900.01,436.68,1792.59,1810.3,8340.86,9528.62,246.51,9285.51,1520.55
56,2015-02-25,43.9900016784668,9559.49,243.25,9895.16,438.27,1789.43,1812.28,8334.5,9537.59,245.7,9268.3,1526.86
57,2015-02-26,44.060001373291016,9459.04,242.26,9864.2,439.02,1787.07,1809.53,8283.93,9547.7,244.87,9241.96,1513.92
58,2015-02-27,43.84999847412109,9453.99,241.63,9855.25,437.87,1783.65,1806.04,8267.31,9526.71,244.59,9260.74,1512.55
59,2015-03-02,43.880001068115234,9441.44,242.87,9892.94,440.97,1797.13,1815.1,8320.74,9610.79,245.93,9250.12,1518.12
60,2015-03-03,43.27999877929688,9445.21,241.81,9859.17,439.36,1788.0,1806.99,8290.47,9534.74,245.07,9240.37,1515.75
61,2015-03-04,43.060001373291016,9402.03,240.51,9809.73,437.27,1780.82,1799.83,8247.15,9509.56,243.81,9189.05,1512.61
62,2015-03-05,43.11000061035156,9412.12,240.7,9841.53,438.73,1786.27,1799.73,8243.38,9541.86,244.15,9237.19,1515.47
63,2015-03-06,42.36000061035156,9279.58,237.7,9675.22,431.83,1752.87,1776.22,8137.04,9384.27,240.63,9033.26,1489.89
64,2015-03-09,42.84999847412109,9261.5,238.6,9710.17,434.2,1763.07,1779.5,8130.37,9426.0,241.84,9064.97,1482.74
65,2015-03-10,42.02999877929688,9076.05,234.59,9580.74,426.72,1740.35,1754.96,7951.87,9288.42,237.57,8979.93,1456.06
66,2015-03-11,41.97999954223633,9112.43,234.22,9565.54,426.97,1747.61,1764.57,7994.76,9310.34,237.35,8942.42,1462.44
67,2015-03-12,41.02000045776367,9204.13,237.45,9699.12,434.21,1770.96,1787.35,8081.95,9440.44,240.02,9089.43,1470.42
68,2015-03-13,41.380001068115234,9139.26,235.91,9637.05,431.05,1765.83,1776.32,8018.73,9397.53,238.43,9034.95,1459.91
69,2015-03-16,41.560001373291016,9250.07,239.23,9770.68,436.56,1793.14,1790.05,8112.56,9548.23,241.45,9159.43,1478.36
70,2015-03-17,41.70000076293945,9224.98,238.47,9738.17,436.39,1793.46,1792.6,8079.63,9534.83,240.29,9121.86,1477.59
71,2015-03-18,42.5,9398.22,240.94,9872.33,441.43,1817.54,1814.85,8205.25,9647.77,243.73,9259.45,1508.5
72,2015-03-19,42.290000915527344,9262.56,239.88,9830.81,438.69,1816.41,1808.13,8108.96,9677.76,241.93,9227.76,1498.27
73,2015-03-20,42.880001068115234,9382.89,242.22,9929.18,443.34,1834.81,1828.79,8221.8,9769.18,244.86,9336.31,1515.84
74,2015-03-23,42.86000061035156,9394.61,241.68,9915.44,442.42,1826.56,1826.34,8216.26,9723.92,244.77,9331.2,1513.63
75,2015-03-24,42.900001525878906,9327.24,240.27,9856.81,439.15,1817.64,1819.62,8174.8,9690.64,243.28,9263.77,1507.98
76,2015-03-25,41.459999084472656,9262.3,236.32,9726.0,431.98,1779.23,1789.82,8044.11,9469.7,241.78,9149.24,1488.57
77,2015-03-26,41.209999084472656,9235.53,236.3,9697.03,431.15,1775.38,1786.46,8023.64,9449.59,241.14,9110.3,1482.83
78,2015-03-27,40.970001220703125,9199.87,236.64,9748.17,433.45,1791.16,1795.52,8013.73,9526.73,241.81,9165.24,1485.27
79,2015-03-30,40.959999084472656,9332.66,239.75,9859.38,438.43,1816.8,1819.81,8126.92,9612.5,244.96,9252.55,1501.65
80,2015-03-31,40.65999984741211,9284.64,237.6,9790.25,434.4,1804.14,1815.85,8078.35,9532.03,242.72,9191.84,1488.59
81,2015-04-01,40.720001220703125,9277.34,236.43,9761.27,433.52,1795.32,1812.47,8067.06,9471.55,241.96,9183.38,1485.43
82,2015-04-02,40.290000915527344,9310.97,237.37,9806.75,435.75,1800.21,1820.55,8109.85,9511.89,242.54,9231.76,1496.14
83,2015-04-06,41.54999923706055,9410.9,239.05,9878.22,438.21,1808.25,1838.17,8179.87,9538.41,244.08,9311.58,1514.12
84,2015-04-07,41.52999877929688,9382.42,238.56,9836.47,436.58,1796.31,1825.3,8148.36,9518.04,243.76,9249.87,1512.64
85,2015-04-08,41.41999816894531,9372.54,239.17,9875.07,439.8,1809.86,1829.91,8173.15,9604.04,244.17,9285.36,1521.63
86,2015-04-09,41.47999954223633,9440.56,240.34,9891.31,441.09,1805.56,1826.52,8230.28,9627.11,245.06,9262.56,1539.66
87,2015-04-10,41.720001220703125,9459.69,241.16,9927.01,444.68,1812.88,1830.29,8238.46,9666.56,246.21,9306.08,1543.07
